Nome#Descrição#Região#Categoria#Arquivo/Pasta#Projeto#Metadata#
Áreas de Plantação de Algodão por Municípios do Brasil#Áreas de plantação de algodão em caroço por municípios do Brasil, por hectares, no período de 2000 a 2014, conforme dados censitários do IBGE.#Brasil#Agricultura#pa_br_algodao_area_municipio_250_ibge#Pastagem.org#ibge.zip#1º Trimestre
Produtividade do Algodão por Municípios do Brasil#Rendimento Médio da produção de Algodão em caroço por municípios do Brasil, em  Quilogramas por Hectares, no período de 2000 a 2014, conforme dados censitários do IBGE.#Brasil#Agricultura#pa_br_algodao_produtividade_municipio_250_ibge#Pastagem.org#ibge.zip#1º Trimestre
Produção de Algodão por Municípios do Brasil#Quantidade de algodão em caroço produzido por municípios do brasil, em Toneladas, no período de 2000 a 2014, conforme dados censitários do IBGE.#Brasil#Agricultura#pa_br_algodao_quantidade_municipio_250_ibge#Pastagem.org#ibge.zip#1º Trimestre
Áreas de Plantação de Cana-de-açúcar por Municípios do Brasil#Áreas de plantação de cana-de-açúcar por municípios do Brasil, por hectares, no período de 2000 a 2014, conforme dados censitários do IBGE.#Brasil#Agricultura#pa_br_cana_area_municipio_250_ibge#Pastagem.org#ibge.zip#1º Trimestre
Produtividade da Cana-de-açúcar por Municípios do Brasil#Rendimento Médio da produção de cana-de-açúcar por municípios do Brasil, em  Quilogramas por Hectares, no período de 2000 a 2014, conforme dados censitários do IBGE.#Brasil#Agricultura#pa_br_cana_produtividade_municipio_250_ibge#Pastagem.org#ibge.zip#1º Trimestre
Produção de Cana-de-açúcar por Municípios do Brasil#Quantidade de cana-de-açúcar produzida por municípios do brasil, em Toneladas, no período de 2000 a 2014, conforme dados censitários do IBGE.#Brasil#Agricultura#pa_br_cana_quantidade_municipio_250_ibge#Pastagem.org#ibge.zip#1º Trimestre
Áreas de Plantação de Milho por Municípios do Brasil#Áreas de plantação de Milho em grão por municípios do Brasil, por hectares, no período de 2000 a 2014, conforme dados censitários do IBGE.#Brasil#Agricultura#pa_br_milho_area_municipio_250_ibge#Pastagem.org#ibge.zip#1º Trimestre
Produtividade do Milho por Municípios do Brasil#Rendimento Médio da produção de Milho em grão por municípios do Brasil, em  Quilogramas por Hectares, no período de 2000 a 2014, conforme dados censitários do IBGE.#Brasil#Agricultura#pa_br_milho_produtividade_municipio_250_ibge#Pastagem.org#ibge.zip#1º Trimestre
Produção de Milho por Municípios do Brasil#Quantidade de milho em grão produzido por municípios do brasil, em Toneladas, no período de 2000 a 2014, conforme dados censitários do IBGE.#Brasil#Agricultura#pa_br_milho_quantidade_municipio_250_ibge#Pastagem.org#ibge.zip#1º Trimestre
Áreas de Plantação de soja por Municípios do Brasil#Áreas de plantação de Soja em grão por municípios do Brasil, por hectares, no período de 2000 a 2014, conforme dados censitários do IBGE.#Brasil#Agricultura#pa_br_soja_area_municipio_250_ibge#Pastagem.org#ibge.zip#1º Trimestre
Produtividade da Soja por Municípios do Brasil#Rendimento Médio da produção de Soja em grão por municípios do Brasil, em  Quilogramas por Hectares, no período de 2000 a 2014, conforme dados censitários do IBGE.#Brasil#Agricultura#pa_br_soja_produtividade_municipio_250_ibge#Pastagem.org#ibge.zip#1º Trimestre
Produção de Soja por Municípios do Brasil#Quantidade de Soja em grão produzida por municípios do brasil, em Toneladas, no período de 2000 a 2014, conforme dados censitários do IBGE.#Brasil#Agricultura#pa_br_soja_quantidade_municipio_250_ibge#Pastagem.org#ibge.zip#1º Trimestre
